question,document
How do I sign up for an account on your website?,doc_0_how_can_i_create_an_account_
Where can I find the Sign Up button to make a new account?,doc_0_how_can_i_create_an_account_
What steps do I need to follow to register a new account?,doc_0_how_can_i_create_an_account_
Can you tell me how to create an account on the top right corner of the site?,doc_0_how_can_i_create_an_account_
How do I complete the registration process after clicking Sign Up?,doc_0_how_can_i_create_an_account_
What kinds of payment can I use for an online order?,doc_1_what_payment_methods_do_you_ac
Do you take credit and debit cards at checkout?,doc_1_what_payment_methods_do_you_ac
Can I pay with PayPal on your site?,doc_1_what_payment_methods_do_you_ac
Which payment options are available when I buy online?,doc_1_what_payment_methods_do_you_ac
"Besides cards, do you accept any other payment method?",doc_1_what_payment_methods_do_you_ac
How do I check where my order is after I buy something?,doc_2_how_can_i_track_my_order_
Where can I find the tracking info for my shipment?,doc_2_how_can_i_track_my_order_
Do I need to log into my account to track an order?,doc_2_how_can_i_track_my_order_
Which section of my account shows order tracking details?,doc_2_how_can_i_track_my_order_
Can I see my order status in Order History?,doc_2_how_can_i_track_my_order_
How long do I have to return an item for a full refund?,doc_3_what_is_your_return_policy_
Do returns need to be in the original packaging and condition?,doc_3_what_is_your_return_policy_
Can I send back a product after 30 days of purchase?,doc_3_what_is_your_return_policy_
Where can I find the instructions for making a return?,doc_3_what_is_your_return_policy_
What do I need to qualify for a full refund on a return?,doc_3_what_is_your_return_policy_
How do I cancel my order before it ships?,doc_4_can_i_cancel_my_order_
Is it still possible to cancel an order that hasn’t been shipped yet?,doc_4_can_i_cancel_my_order_
Who should I contact if I want to cancel my order?,doc_4_can_i_cancel_my_order_
Do I need to give my order details to cancel an order?,doc_4_can_i_cancel_my_order_
Can customer support help me cancel my order if it’s not shipped yet?,doc_4_can_i_cancel_my_order_
How long does standard shipping usually take?,doc_5_how_long_does_shipping_take_
What’s the delivery time if I choose express shipping?,doc_5_how_long_does_shipping_take_
Do shipping times change depending on where the package is going?,doc_5_how_long_does_shipping_take_
How many business days should I expect for standard delivery?,doc_5_how_long_does_shipping_take_
Is express shipping usually 1 to 2 business days?,doc_5_how_long_does_shipping_take_
"Do you ship to countries outside the U.S., or is it only domestic?",doc_6_do_you_offer_international_shi
Which countries can you ship to internationally?,doc_6_do_you_offer_international_shi
How do I know if international shipping is available for my address?,doc_6_do_you_offer_international_shi
