question;document;hit_rate_text;hit_rate_vector;hit_rate_vector_combined;mrr_text;mrr_vector;mrr_vector_combined
How do I sign up for an account on your website?;doc_0_how_can_i_create_an_account_;1;1;1;1.0;0.5;0.5
Where can I find the Sign Up button to make a new account?;doc_0_how_can_i_create_an_account_;1;1;1;1.0;0.25;0.5
What steps do I need to follow to register a new account?;doc_0_how_can_i_create_an_account_;1;1;1;0.2;0.1;0.5
Can you tell me how to create an account on the top right corner of the site?;doc_0_how_can_i_create_an_account_;1;1;1;1.0;0.5;0.5
How do I complete the registration process after clicking Sign Up?;doc_0_how_can_i_create_an_account_;1;0;1;0.5;0.0;0.5
What kinds of payment can I use for an online order?;doc_1_what_payment_methods_do_you_ac;1;0;0;1.0;0.0;0.0
Do you take credit and debit cards at checkout?;doc_1_what_payment_methods_do_you_ac;1;0;0;0.3333333333333333;0.0;0.0
Can I pay with PayPal on your site?;doc_1_what_payment_methods_do_you_ac;0;0;0;0.0;0.0;0.0
Which payment options are available when I buy online?;doc_1_what_payment_methods_do_you_ac;1;0;0;0.5;0.0;0.0
Besides cards, do you accept any other payment method?;doc_1_what_payment_methods_do_you_ac;1;0;0;1.0;0.0;0.0
How do I check where my order is after I buy something?;doc_2_how_can_i_track_my_order_;1;0;1;0.5;0.0;0.1
Where can I find the tracking info for my shipment?;doc_2_how_can_i_track_my_order_;1;1;1;0.5;1.0;0.1
Do I need to log into my account to track an order?;doc_2_how_can_i_track_my_order_;1;0;1;1.0;0.0;0.1
Which section of my account shows order tracking details?;doc_2_how_can_i_track_my_order_;1;0;1;0.25;0.0;0.1
Can I see my order status in Order History?;doc_2_how_can_i_track_my_order_;1;1;1;0.3333333333333333;0.25;0.1
How long do I have to return an item for a full refund?;doc_3_what_is_your_return_policy_;0;0;1;0.0;0.0;0.2
Do returns need to be in the original packaging and condition?;doc_3_what_is_your_return_policy_;1;0;1;0.25;0.0;0.2
Can I send back a product after 30 days of purchase?;doc_3_what_is_your_return_policy_;1;0;1;0.25;0.0;0.2
Where can I find the instructions for making a return?;doc_3_what_is_your_return_policy_;0;0;1;0.0;0.0;0.2
What do I need to qualify for a full refund on a return?;doc_3_what_is_your_return_policy_;1;0;1;0.3333333333333333;0.0;0.2
How do I cancel my order before it ships?;doc_4_can_i_cancel_my_order_;1;1;0;1.0;1.0;0.0
Is it still possible to cancel an order that hasn’t been shipped yet?;doc_4_can_i_cancel_my_order_;1;0;0;0.5;0.0;0.0
Who should I contact if I want to cancel my order?;doc_4_can_i_cancel_my_order_;1;1;0;1.0;0.3333333333333333;0.0
Do I need to give my order details to cancel an order?;doc_4_can_i_cancel_my_order_;1;1;0;0.5;0.2;0.0
Can customer support help me cancel my order if it’s not shipped yet?;doc_4_can_i_cancel_my_order_;1;1;0;0.5;1.0;0.0
How long does standard shipping usually take?;doc_5_how_long_does_shipping_take_;1;1;0;1.0;1.0;0.0
What’s the delivery time if I choose express shipping?;doc_5_how_long_does_shipping_take_;1;0;0;0.16666666666666666;0.0;0.0
Do shipping times change depending on where the package is going?;doc_5_how_long_does_shipping_take_;1;0;0;0.14285714285714285;0.0;0.0
How many business days should I expect for standard delivery?;doc_5_how_long_does_shipping_take_;1;1;0;0.5;1.0;0.0
Is express shipping usually 1 to 2 business days?;doc_5_how_long_does_shipping_take_;1;1;0;1.0;1.0;0.0
Do you ship to countries outside the U.S., or is it only domestic?;doc_6_do_you_offer_international_shi;1;0;0;0.5;0.0;0.0
Which countries can you ship to internationally?;doc_6_do_you_offer_international_shi;1;0;0;1.0;0.0;0.0
How do I know if international shipping is available for my address?;doc_6_do_you_offer_international_shi;1;0;0;1.0;0.0;0.0
Will shipping costs for overseas orders show up at checkout?;doc_6_do_you_offer_international_shi;1;0;0;1.0;0.0;0.0
Can I order from another country, and will the total shipping fee be calculated automatically?;doc_6_do_you_offer_international_shi;1;0;0;0.16666666666666666;0.0;0.0
What do I need to do if my package gets lost in transit?;doc_7_what_should_i_do_if_my_package;1;1;0;1.0;0.3333333333333333;0.0
Who should I contact if my order arrives damaged?;doc_7_what_should_i_do_if_my_package;1;1;0;1.0;0.2;0.0
If my package goes missing, how do I start a claim?;doc_7_what_should_i_do_if_my_package;1;1;0;1.0;0.5;0.0
What’s the fastest way to report a damaged delivery?;doc_7_what_should_i_do_if_my_package;1;0;0;0.1111111111111111;0.0;0.0
Do I need to reach out right away if my parcel is lost or damaged?;doc_7_what_should_i_do_if_my_package;1;1;0;1.0;1.0;0.0
How can I update my shipping address after I’ve already placed an order?;doc_8_can_i_change_my_shipping_addre;1;1;1;1.0;1.0;0.14285714285714285
Is it possible to change the delivery address before my order ships?;doc_8_can_i_change_my_shipping_addre;1;1;1;1.0;1.0;0.14285714285714285
What should I do if I entered the wrong shipping address at checkout?;doc_8_can_i_change_my_shipping_addre;1;1;1;0.25;0.5;0.14285714285714285
Can customer support still change my address if the package hasn’t been sent out yet?;doc_8_can_i_change_my_shipping_addre;1;1;1;1.0;1.0;0.14285714285714285
Who do I contact to request a shipping address change on an existing order?;doc_8_can_i_change_my_shipping_addre;1;1;1;1.0;0.3333333333333333;0.14285714285714285
How do I get in touch with customer support by phone or email?;doc_9_how_can_i_contact_customer_sup;1;1;0;1.0;0.1;0.0
What’s the best way to reach your support team if I need help?;doc_9_how_can_i_contact_customer_sup;1;0;0;1.0;0.0;0.0
Can I contact customer service by email, or do I need to call?;doc_9_how_can_i_contact_customer_sup;1;1;0;1.0;0.25;0.0
What are the ways to contact support for questions or issues with my order?;doc_9_how_can_i_contact_customer_sup;1;0;0;1.0;0.0;0.0
When is customer support available, and how can I reach them?;doc_9_how_can_i_contact_customer_sup;1;1;0;1.0;1.0;0.0
Can I add gift wrapping when I check out, and is there an extra charge?;doc_10_do_you_offer_gift_wrapping_ser;1;0;0;1.0;0.0;0.0
Do you provide gift wrap for orders, or is that something I need to request separately?;doc_10_do_you_offer_gift_wrapping_ser;1;0;0;1.0;0.0;0.0
How do I choose the gift wrapping option for my purchase?;doc_10_do_you_offer_gift_wrapping_ser;1;1;0;1.0;0.125;0.0
Is gift wrapping available on your site for every order?;doc_10_do_you_offer_gift_wrapping_ser;1;1;0;1.0;0.1111111111111111;0.0
Will I be able to select gift wrap during checkout, and does it cost more?;doc_10_do_you_offer_gift_wrapping_ser;0;0;0;0.0;0.0;0.0
Do you price match identical products from other websites?;doc_11_what_is_your_price_matching_po;1;0;0;0.1111111111111111;0.0;0.0
How do I request a price match for a competitor's lower price?;doc_11_what_is_your_price_matching_po;1;1;0;1.0;1.0;0.0
What details do I need to send to customer support for a price match?;doc_11_what_is_your_price_matching_po;1;0;0;0.5;0.0;0.0
Will you match a cheaper offer I found on another store's website?;doc_11_what_is_your_price_matching_po;1;1;0;0.1111111111111111;0.125;0.0
Does your price matching apply to the exact same item sold by competitors?;doc_11_what_is_your_price_matching_po;1;0;0;1.0;0.0;0.0
Can I place an order by phone, or do I need to use the website?;doc_12_can_i_order_by_phone_;1;0;0;1.0;0.0;0.0
Do you take phone orders if I want to buy something quickly?;doc_12_can_i_order_by_phone_;1;0;0;0.3333333333333333;0.0;0.0
Is it possible to call in an order instead of ordering online?;doc_12_can_i_order_by_phone_;0;0;0;0.0;0.0;0.0
Why can’t I order over the phone, and how should I place my order?;doc_12_can_i_order_by_phone_;1;0;0;0.5;0.0;0.0
Can I make a purchase by phone, or is online checkout required?;doc_12_can_i_order_by_phone_;1;0;0;1.0;0.0;0.0
How do you protect my personal and payment information when I shop with you?;doc_13_are_my_personal_and_payment_de;1;1;0;1.0;0.25;0.0
Is it safe to enter my card details on your website?;doc_13_are_my_personal_and_payment_de;1;0;0;0.5;0.0;0.0
What security measures do you use to keep customer data protected?;doc_13_are_my_personal_and_payment_de;0;0;0;0.0;0.0;0.0
Do you use encryption for personal and payment details?;doc_13_are_my_personal_and_payment_de;1;1;0;1.0;0.5;0.0
Can I trust your checkout process with my sensitive information?;doc_13_are_my_personal_and_payment_de;0;0;0;0.0;0.0;0.0
Do you offer a price adjustment if the item I bought gets discounted right after I ordered it?;doc_14_what_is_your_price_adjustment_;1;0;0;0.5;0.0;0.0
How many days after purchase can I ask for a price match or adjustment?;doc_14_what_is_your_price_adjustment_;1;0;0;1.0;0.0;0.0
Is the price adjustment something I can use more than once on the same order?;doc_14_what_is_your_price_adjustment_;1;0;0;1.0;0.0;0.0
What do I need to send to customer support to get a price adjustment?;doc_14_what_is_your_price_adjustment_;1;0;0;1.0;0.0;0.0
If something I purchased goes on sale within a week, can I request the difference back?;doc_14_what_is_your_price_adjustment_;1;0;0;0.25;0.0;0.0
Do you offer a loyalty program for customers, and how does it work?;doc_15_do_you_have_a_loyalty_program_;1;1;1;1.0;1.0;0.125
Can I earn points when I shop with you, and what can I use them for?;doc_15_do_you_have_a_loyalty_program_;1;0;1;0.16666666666666666;0.0;0.125
How do I join your rewards program or sign up for it?;doc_15_do_you_have_a_loyalty_program_;1;0;1;1.0;0.0;0.125
Are the points from purchases redeemable for discounts on my next order?;doc_15_do_you_have_a_loyalty_program_;1;0;1;0.1111111111111111;0.0;0.125
Where can I find more info about your loyalty program on your website?;doc_15_do_you_have_a_loyalty_program_;1;1;1;0.3333333333333333;0.25;0.125
Is it possible to buy as a guest without signing up?;doc_16_can_i_order_without_creating_a;1;0;0;0.5;0.0;0.0
Do I have to create an account before placing an order?;doc_16_can_i_order_without_creating_a;1;1;0;0.5;0.1111111111111111;0.0
Can I check out without registering first?;doc_16_can_i_order_without_creating_a;1;0;0;1.0;0.0;0.0
Will guest checkout work if I don’t want an account?;doc_16_can_i_order_without_creating_a;1;0;0;0.5;0.0;0.0
What’s the point of making an account if I can order without one?;doc_16_can_i_order_without_creating_a;1;1;0;1.0;0.1;0.0
Do you offer discounts if I order a lot at once?;doc_17_do_you_offer_bulk_or_wholesale;1;0;0;1.0;0.0;0.0
Is there a wholesale price for your products?;doc_17_do_you_offer_bulk_or_wholesale;1;0;0;0.25;0.0;0.0
Can I get a bulk discount on certain items?;doc_17_do_you_offer_bulk_or_wholesale;1;0;0;1.0;0.0;0.0
Who should I contact to ask about wholesale pricing?;doc_17_do_you_offer_bulk_or_wholesale;1;0;0;0.3333333333333333;0.0;0.0
Where can I find more info about your wholesale program?;doc_17_do_you_offer_bulk_or_wholesale;1;1;0;0.3333333333333333;0.14285714285714285;0.0
How do I change or cancel something from my order after I place it?;doc_18_can_i_change_or_cancel_an_item;1;1;1;1.0;1.0;0.1111111111111111
Is it possible to edit or cancel an order item before it ships?;doc_18_can_i_change_or_cancel_an_item;1;1;1;1.0;1.0;0.1111111111111111
Who should I contact if I want to cancel one item in my order?;doc_18_can_i_change_or_cancel_an_item;1;1;1;1.0;0.3333333333333333;0.1111111111111111
What’s the fastest way to request a change to my order item?;doc_18_can_i_change_or_cancel_an_item;1;0;1;1.0;0.0;0.1111111111111111
Can customer support help me remove an item from my order?;doc_18_can_i_change_or_cancel_an_item;1;0;1;0.5;0.0;0.1111111111111111
How do I write a review for a product I bought?;doc_19_how_can_i_leave_a_product_revi;1;0;0;1.0;0.0;0.0
Where can I find the button to leave a product review?;doc_19_how_can_i_leave_a_product_revi;1;1;0;1.0;0.1;0.0
Do I need to go to the product page to submit feedback and a rating?;doc_19_how_can_i_leave_a_product_revi;0;1;0;0.0;0.2;0.0
What’s the easiest way to add a review on your website?;doc_19_how_can_i_leave_a_product_revi;1;1;0;0.25;0.5;0.0
Can I share my experience and rate an item from the product page?;doc_19_how_can_i_leave_a_product_revi;1;1;0;0.16666666666666666;0.25;0.0
Can I stack more than one promo code on the same order?;doc_20_can_i_use_multiple_promo_codes;1;1;0;1.0;1.0;0.0
Is it possible to use multiple discount codes during checkout, or just one?;doc_20_can_i_use_multiple_promo_codes;1;0;0;1.0;0.0;0.0
How many promo codes can I apply to a single purchase?;doc_20_can_i_use_multiple_promo_codes;1;1;0;1.0;1.0;0.0
If I have several promo codes, can I combine them on one order?;doc_20_can_i_use_multiple_promo_codes;1;0;0;1.0;0.0;0.0
Do I need to pick only one promo code when I check out?;doc_20_can_i_use_multiple_promo_codes;1;0;0;0.5;0.0;0.0
I got the wrong item in my order, what should I do next?;doc_21_what_should_i_do_if_i_receive_;1;1;1;1.0;1.0;1.0
Who do I contact if my package arrives with the wrong product?;doc_21_what_should_i_do_if_i_receive_;1;1;1;1.0;0.5;1.0
If I was sent the wrong item, will you send the correct one and take the other back?;doc_21_what_should_i_do_if_i_receive_;1;1;1;1.0;1.0;1.0
What’s the quickest way to fix an order that contains the wrong item?;doc_21_what_should_i_do_if_i_receive_;1;0;1;1.0;0.0;1.0
Do I need to return the wrong item myself if the order was shipped incorrectly?;doc_21_what_should_i_do_if_i_receive_;1;1;1;1.0;0.5;1.0
Do you have faster shipping options if I need my order sooner?;doc_22_do_you_offer_expedited_shippin;1;0;0;0.3333333333333333;0.0;0.0
Can I choose expedited shipping at checkout?;doc_22_do_you_offer_expedited_shippin;1;0;0;1.0;0.0;0.0
How do I upgrade my delivery speed when placing an order?;doc_22_do_you_offer_expedited_shippin;0;0;0;0.0;0.0;0.0
Is there an option for quicker shipping on your site?;doc_22_do_you_offer_expedited_shippin;0;0;0;0.0;0.0;0.0
What’s the fastest shipping method I can select during checkout?;doc_22_do_you_offer_expedited_shippin;1;0;0;0.5;0.0;0.0
Can I still buy something if it’s currently out of stock, or is there a waitlist?;doc_23_can_i_order_a_product_that_is_;1;1;0;0.3333333333333333;1.0;0.0
What happens when a product is out of stock on your site?;doc_23_can_i_order_a_product_that_is_;1;1;0;1.0;0.3333333333333333;0.0
Is there a way to get notified when an out-of-stock item comes back?;doc_23_can_i_order_a_product_that_is_;1;0;0;0.16666666666666666;0.0;0.0
Do you offer alerts for items that aren’t available right now?;doc_23_can_i_order_a_product_that_is_;0;1;0;0.0;1.0;0.0
How do I know when a sold-out product is available again?;doc_23_can_i_order_a_product_that_is_;1;1;0;0.16666666666666666;0.1;0.0
What kind of updates do you send in your email newsletter?;doc_24_what_is_your_email_newsletter_;1;0;0;1.0;0.0;0.0
Does the newsletter include new product announcements and special deals?;doc_24_what_is_your_email_newsletter_;1;0;0;0.5;0.0;0.0
Will I get tips about your products if I sign up for your emails?;doc_24_what_is_your_email_newsletter_;1;0;0;0.5;0.0;0.0
How can I subscribe to your newsletter on the website?;doc_24_what_is_your_email_newsletter_;1;0;0;0.5;0.0;0.0
What should I expect to receive after joining your email list?;doc_24_what_is_your_email_newsletter_;1;0;0;1.0;0.0;0.0
Can I send something back if I just changed my mind?;doc_25_can_i_return_a_product_if_i_ch;1;1;0;1.0;0.5;0.0
Is it possible to return an item when I no longer want it?;doc_25_can_i_return_a_product_if_i_ch;0;0;0;0.0;0.0;0.0
Do you accept returns for products I ordered but decided to keep?;doc_25_can_i_return_a_product_if_i_ch;0;0;0;0.0;0.0;0.0
What do I need to do to return an item if I changed my mind?;doc_25_can_i_return_a_product_if_i_ch;1;1;0;1.0;0.3333333333333333;0.0
